filename	totalLen	onsetDet	onsetNoun	offsetNoun	waitForDetOffset	waitForNounOffset	waitForEnd
nonNat_133_unrelated	5.659	2.846	3.01	3.551	0.164	0.541	2.108
nonNat_134_related	4.633	2.85	3.033	3.699	0.183	0.666	0.934
nonNat_134_unrelated	4.388	2.85	3.037	3.498	0.187	0.461	0.89
nonNat_136_related	3.997	2.767	2.877	3.368	0.11	0.491	0.629
nonNat_136_unrelated	4.146	2.767	2.901	3.452	0.134	0.551	0.694
nonNat_137_related	6.02	4.914	5.016	5.358	0.102	0.342	0.662
nonNat_137_unrelated	6.126	4.914	5.033	5.441	0.119	0.408	0.685
nonNat_13_related	5.81	3.949	4.225	4.615	0.276	0.39	1.195
nonNat_13_unrelated	5.88	3.949	4.242	4.913	0.293	0.671	0.967
nonNat_140_related	6.632	4.651	4.807	5.296	0.156	0.489	1.336
nonNat_140_unrelated	6.729	4.651	4.83	5.506	0.179	0.676	1.223
nonNat_141_related	4.16	2.646	2.796	3.127	0.15	0.331	1.033
nonNat_141_unrelated	4.234	2.646	2.821	3.129	0.175	0.308	1.105
nonNat_142_related	7.742	4.637	4.785	5.098	0.148	0.313	2.644
nonNat_142_unrelated	7.808	4.637	4.728	5.484	0.091	0.756	2.324
nonNat_143_related	6.577	5.502	5.657	5.937	0.155	0.28	0.64
nonNat_143_unrelated	6.896	5.502	5.631	6.135	0.129	0.504	0.761
nonNat_144_related	5.935	4.677	4.773	5.223	0.096	0.45	0.712
nonNat_144_unrelated	5.724	4.677	4.769	5.044	0.092	0.275	0.68
nonNat_145_related	3.816	2.44	2.583	2.85	0.143	0.267	0.966
nonNat_145_unrelated	3.804	2.44	2.588	2.852	0.148	0.264	0.952
nonNat_146_related	4.72	3.372	3.555	3.823	0.183	0.268	0.897
nonNat_146_unrelated	5.276	3.372	3.606	4.413	0.234	0.807	0.863
nonNat_147_related	5.836	3.141	3.286	3.776	0.145	0.49	2.06
nonNat_147_unrelated	6.286	3.141	3.359	3.908	0.218	0.549	2.378
nonNat_148_related	4.856	4.154	4.322	4.508	0.168	0.186	0.348
nonNat_148_unrelated	5.049	4.154	4.273	4.654	0.119	0.381	0.395
nonNat_149_related	7.241	5.64	5.83	6.402	0.19	0.572	0.839
nonNat_149_unrelated	7.02	5.64	5.751	6.18	0.111	0.429	0.84
nonNat_150_related	5.269	2.656	2.85	3.425	0.194	0.575	1.844
nonNat_150_unrelated	5.394	2.656	2.85	3.513	0.194	0.663	1.881
nonNat_151_related	5.139	3.463	3.667	3.961	0.204	0.294	1.178
nonNat_151_unrelated	5.107	3.463	3.605	3.994	0.142	0.389	1.113
nonNat_152_related	3.331	2.026	2.211	2.68	0.185	0.469	0.651
nonNat_152_unrelated	3.223	2.026	2.199	2.553	0.173	0.354	0.67
nonNat_153_related	3.525	2.29	2.413	2.977	0.123	0.564	0.548
nonNat_153_unrelated	3.643	2.29	2.468	3.157	0.178	0.689	0.486
nonNat_154_related	6.826	5.543	5.695	6.155	0.152	0.46	0.671
nonNat_154_unrelated	6.707	5.543	5.703	6.077	0.16	0.374	0.63
nonNat_155_related	7.517	4.37	4.521	5.347	0.151	0.826	2.17
nonNat_155_unrelated	7.247	4.37	4.556	5.076	0.186	0.52	2.171
nonNat_156_related	5.808	4.873	5.042	5.335	0.169	0.293	0.473
nonNat_156_unrelated	5.913	4.873	5.041	5.432	0.168	0.391	0.481
nonNat_157_related	5.383	4.098	4.182	4.459	0.084	0.277	0.924
nonNat_157_unrelated	5.647	4.098	4.306	4.799	0.208	0.493	0.848
nonNat_158_related	3.088	1.661	1.803	2.211	0.142	0.408	0.877
nonNat_158_unrelated	2.895	1.661	1.786	2.079	0.125	0.293	0.816
nonNat_159_related	6.039	4.895	5.09	5.483	0.195	0.393	0.556
nonNat_159_unrelated	5.75	4.895	5.086	5.314	0.191	0.228	0.436
nonNat_160_related	5.048	4.103	4.223	4.485	0.12	0.262	0.563
nonNat_160_unrelated	5.377	4.103	4.309	4.845	0.206	0.536	0.532
nonNat_161_related	3.618	2.322	2.542	2.819	0.22	0.277	0.799
nonNat_161_unrelated	3.783	2.322	2.493	2.98	0.171	0.487	0.803
nonNat_16_related	4.834	2.451	2.629	3.013	0.178	0.384	1.821
nonNat_16_unrelated	4.806	2.451	2.598	2.982	0.147	0.384	1.824
nonNat_17_related	4.702	3.06	3.217	3.538	0.157	0.321	1.164
nonNat_17_unrelated	4.925	3.06	3.253	3.74	0.193	0.487	1.185
nonNat_20_related	4.626	3.182	3.36	3.85	0.178	0.49	0.776
nonNat_20_unrelated	5.025	3.182	3.359	3.984	0.177	0.625	1.041
nonNat_21_related	4.621	3.355	3.486	3.69	0.131	0.204	0.931
nonNat_21_unrelated	4.851	3.355	3.473	3.929	0.118	0.456	0.922
nonNat_22_related	4.587	3.096	3.305	3.593	0.209	0.288	0.994
nonNat_22_unrelated	5.114	3.096	3.243	4.09	0.147	0.847	1.024
nonNat_23_related	4.226	2.817	3	3.397	0.183	0.397	0.829
nonNat_23_unrelated	4.2	2.817	2.965	3.342	0.148	0.377	0.858
nonNat_24_related	4.736	3.019	3.167	3.624	0.148	0.457	1.112
nonNat_24_unrelated	4.796	3.019	3.175	3.627	0.156	0.452	1.169
nonNat_25_related	5.526	3.441	3.655	3.979	0.214	0.324	1.547
nonNat_25_unrelated	5.767	3.441	3.606	4.118	0.165	0.512	1.649
nonNat_26_related	4.842	3.33	3.556	4.172	0.226	0.616	0.67
nonNat_26_unrelated	4.343	3.33	3.586	3.818	0.256	0.232	0.525
nonNat_27_related	4.517	2.82	2.908	3.495	0.088	0.587	1.022
nonNat_27_unrelated	4.244	2.82	2.92	3.205	0.1	0.285	1.039
nonNat_28_related	5.213	3.995	4.238	4.628	0.243	0.39	0.585
nonNat_28_unrelated	5.217	3.995	4.143	4.548	0.148	0.405	0.669
nonNat_29_related	3.871	2.668	2.903	3.153	0.235	0.25	0.718
nonNat_29_unrelated	3.992	2.668	2.837	3.186	0.169	0.349	0.806
nonNat_300_control	3.403	0.8	0.943	1.572	0.143	0.629	1.831
nonNat_301_control	5.776	2.679	2.877	3.265	0.198	0.388	2.511
nonNat_302_control	6.976	5.745	6.042	6.346	0.297	0.304	0.63
nonNat_303_control	5.519	1.366	1.599	2.109	0.233	0.51	3.41
nonNat_304_control	5.607	0.515	0.68	1.437	0.165	0.757	4.17
nonNat_305_control	4.973	0.209	0.361	0.972	0.152	0.611	4.001
nonNat_306_control	5.995	0.828	1.062	1.373	0.234	0.311	4.622
nonNat_307_control	6.504	5.67	5.875	6.201	0.205	0.326	0.303
nonNat_308_control	5.352	3.177	3.361	4.138	0.184	0.777	1.214
nonNat_309_control	7.048	4.882	5.013	5.49	0.131	0.477	1.558
nonNat_30_related	4.041	2.136	2.245	2.656	0.109	0.411	1.385
nonNat_30_unrelated	3.979	2.136	2.313	2.649	0.177	0.336	1.33
nonNat_310_control	6.651	5.48	5.823	6.572	0.343	0.749	0.079
nonNat_311_control	6.454	1.558	1.734	2.074	0.176	0.34	4.38
nonNat_312_control	6.424	2.775	2.973	3.517	0.198	0.544	2.907
nonNat_313_control	7.904	4.415	4.787	5.321	0.372	0.534	2.583
nonNat_314_control	8.408	4.87	5.056	5.833	0.186	0.777	2.575
nonNat_315_control	7.156	5.784	5.953	6.387	0.169	0.434	0.769
nonNat_316_control	5.225	0.039	0.179	0.846	0.14	0.667	4.379
nonNat_317_control	6.239	1.468	1.624	1.844	0.156	0.22	4.395
nonNat_318_control	5.781	5.107	5.228	5.745	0.121	0.517	0.036
nonNat_319_control	5.121	1.409	1.491	2.325	0.082	0.834	2.796
nonNat_31_related	4.135	3.008	3.133	3.698	0.125	0.565	0.437
nonNat_31_unrelated	4.128	3.008	3.189	3.714	0.181	0.525	0.414
nonNat_320_control	3.936	2.501	2.612	3.214	0.111	0.602	0.722
nonNat_321_control	5.353	4.761	4.915	5.281	0.154	0.366	0.072
nonNat_322_control	5.475	0.235	0.447	1.049	0.212	0.602	4.426
nonNat_323_control	5.256	1.839	1.993	2.282	0.154	0.289	2.974
nonNat_324_control	7.085	3.102	3.21	4.076	0.108	0.866	3.009
nonNat_325_control	6.732	0.553	1.357	1.775	0.804	0.418	4.957
nonNat_326_control	8.482	3.098	3.456	3.764	0.358	0.308	4.718
nonNat_327_control	5.966	1.842	2.532	2.759	0.69	0.227	3.207
nonNat_328_control	6.824	0.608	0.719	1.142	0.111	0.423	5.682
nonNat_329_control	5.743	3.595	3.704	4.323	0.109	0.619	1.42
nonNat_32_related	4.487	3.35	3.502	3.748	0.152	0.246	0.739
nonNat_32_unrelated	4.585	3.35	3.49	3.809	0.14	0.319	0.776
nonNat_330_control	7.541	6.629	6.774	7.41	0.145	0.636	0.131
nonNat_331_control	5.778	0.951	1.198	1.547	0.247	0.349	4.231
nonNat_332_control	6.836	1.234	1.421	2.113	0.187	0.692	4.723
nonNat_333_control	4.705	2.326	2.417	2.984	0.091	0.567	1.721
nonNat_334_control	6.538	4.902	5.122	5.39	0.22	0.268	1.148
nonNat_335_control	8.077	2.192	2.734	3.544	0.542	0.81	4.533
nonNat_336_control	6.872	2.888	3.308	3.857	0.42	0.549	3.015
nonNat_337_control	8.055	4.52	4.735	5.353	0.215	0.618	2.702
nonNat_338_control	4.686	0.33	0.445	0.792	0.115	0.347	3.894
nonNat_339_control	5.492	2.062	2.259	2.66	0.197	0.401	2.832
nonNat_33_related	7.864	4.717	4.831	5.408	0.114	0.577	2.456
nonNat_33_unrelated	8.214	4.717	4.82	5.551	0.103	0.731	2.663
nonNat_340_control	6.734	3.096	3.307	3.964	0.211	0.657	2.77
nonNat_341_control	6.315	5.196	5.48	6.264	0.284	0.784	0.051
nonNat_342_control	8.19	7.038	7.297	7.471	0.259	0.174	0.719
nonNat_343_control	5.262	3.678	3.938	4.267	0.26	0.329	0.995
nonNat_344_control	3.692	2.309	2.766	3.06	0.457	0.294	0.632
nonNat_345_control	6.954	1.288	1.401	2.096	0.113	0.695	4.858
nonNat_346_control	5.536	2.606	2.743	3.133	0.137	0.39	2.403
nonNat_347_control	5.824	4.568	4.702	4.964	0.134	0.262	0.86
nonNat_348_control	5.731	1.777	2.02	2.715	0.243	0.695	3.016
nonNat_349_control	6.469	0.065	0.152	0.77	0.087	0.618	5.699
nonNat_34_related	5.268	3.653	3.768	4.133	0.115	0.365	1.135
nonNat_34_unrelated	5.374	3.653	3.907	4.328	0.254	0.421	1.046
nonNat_350_control	5.407	2.267	2.367	2.93	0.1	0.563	2.477
nonNat_351_control	5.252	0.246	0.6	1.445	0.354	0.845	3.807
nonNat_352_control	5.796	1.455	1.959	3.109	0.504	1.15	2.687
nonNat_353_control	4.397	1.92	2.031	2.405	0.111	0.374	1.992
nonNat_354_control	3.677	1.658	1.771	2.252	0.113	0.481	1.425
nonNat_355_control	4.376	2.227	2.444	2.699	0.217	0.255	1.677
nonNat_356_control	4.958	1.149	1.344	1.979	0.195	0.635	2.979
nonNat_357_control	5.044	4.438	4.704	4.986	0.266	0.282	0.058
nonNat_358_control	5.016	2.391	2.636	2.978	0.245	0.342	2.038
nonNat_359_control	5.456	4.874	5	5.402	0.126	0.402	0.054
nonNat_360_control	4.996	2.965	3.153	3.656	0.188	0.503	1.34
nonNat_36_related	5.545	3.358	3.467	4.127	0.109	0.66	1.418
nonNat_36_unrelated	5.492	3.358	3.477	4.111	0.119	0.634	1.381
nonNat_38_related	5.577	4.536	4.717	5.052	0.181	0.335	0.525
nonNat_38_unrelated	5.656	4.536	4.64	5.027	0.104	0.387	0.629
nonNat_39_related	3.12	1.918	2.094	2.569	0.176	0.475	0.551
nonNat_39_unrelated	3.041	1.918	2.061	2.465	0.143	0.404	0.576
nonNat_40_related	4.705	3.217	3.45	3.72	0.233	0.27	0.985
nonNat_40_unrelated	4.654	3.217	3.421	3.731	0.204	0.31	0.923
nonNat_41_related	5.203	2.635	2.817	3.516	0.182	0.699	1.687
nonNat_41_unrelated	5.176	2.635	2.807	3.441	0.172	0.634	1.735
nonNat_42_related	5.988	3.965	4.134	4.647	0.169	0.513	1.341
nonNat_42_unrelated	6.219	3.965	4.214	5.087	0.249	0.873	1.132
nonNat_43_related	5.296	3.623	3.842	4.151	0.219	0.309	1.145
nonNat_43_unrelated	5.312	3.623	3.721	4.249	0.098	0.528	1.063
nonNat_44_related	4.288	2.858	3.034	3.397	0.176	0.363	0.891
nonNat_44_unrelated	4.176	2.858	3.031	3.35	0.173	0.319	0.826
nonNat_45_related	6.527	4.361	4.471	5.233	0.11	0.762	1.294
nonNat_45_unrelated	6.47	4.361	4.563	5.164	0.202	0.601	1.306
nonNat_46_related	5.061	3.946	4.125	4.615	0.179	0.49	0.446
nonNat_46_unrelated	4.847	3.946	4.123	4.364	0.177	0.241	0.483
nonNat_47_related	4.981	3.502	3.712	4.259	0.21	0.547	0.722
nonNat_47_unrelated	5.004	3.502	3.714	4.394	0.212	0.68	0.61
nonNat_49_related	3.707	2.763	2.897	3.237	0.134	0.34	0.47
nonNat_49_unrelated	3.906	2.763	2.935	3.404	0.172	0.469	0.502
nonNat_4_related	5.783	3.11	3.26	3.8	0.15	0.54	1.983
nonNat_4_unrelated	6.055	3.11	3.33	3.738	0.22	0.408	2.317
nonNat_50_related	5.616	3.041	3.181	3.845	0.14	0.664	1.771
nonNat_50_unrelated	5.403	3.041	3.196	3.798	0.155	0.602	1.605
nonNat_51_related	4.126	2.694	2.8	3.367	0.106	0.567	0.759
nonNat_51_unrelated	4.137	2.694	2.801	3.253	0.107	0.452	0.884
nonNat_53_related	5.073	2.221	2.369	3.058	0.148	0.689	2.015
nonNat_53_unrelated	5.193	2.221	2.296	3.146	0.075	0.85	2.047
nonNat_54_related	4.458	2.215	2.357	2.925	0.142	0.568	1.533
nonNat_54_unrelated	4.257	2.215	2.344	3.032	0.129	0.688	1.225
nonNat_57_related	3.566	2.401	2.603	3.07	0.202	0.467	0.496
nonNat_57_unrelated	3.492	2.401	2.525	2.994	0.124	0.469	0.498
nonNat_58_related	6.561	4.117	4.263	4.621	0.146	0.358	1.94
nonNat_58_unrelated	6.351	4.117	4.312	4.854	0.195	0.542	1.497
nonNat_59_related	8.174	5.749	5.9	6.478	0.151	0.578	1.696
nonNat_59_unrelated	8.053	5.749	5.868	6.481	0.119	0.613	1.572
nonNat_5_related	4.7	3.316	3.412	3.761	0.096	0.349	0.939
nonNat_5_unrelated	4.902	3.316	3.519	3.941	0.203	0.422	0.961
nonNat_62_related	4.926	2.79	2.929	3.469	0.139	0.54	1.457
nonNat_62_unrelated	5.176	2.79	2.929	3.895	0.139	0.966	1.281
nonNat_63_related	3.908	1.846	1.964	2.434	0.118	0.47	1.474
nonNat_63_unrelated	3.744	1.846	1.963	2.304	0.117	0.341	1.44
nonNat_64_related	4.541	3.071	3.213	3.869	0.142	0.656	0.672
nonNat_64_unrelated	4.1	3.071	3.179	3.449	0.108	0.27	0.651
nonNat_66_related	4.629	1.923	2.068	2.654	0.145	0.586	1.975
nonNat_66_unrelated	4.2	1.923	2.092	2.412	0.169	0.32	1.788
nonNat_67_related	4.38	3.393	3.594	3.784	0.201	0.19	0.596
nonNat_67_unrelated	4.488	3.393	3.497	3.905	0.104	0.408	0.583
nonNat_68_related	5.035	3.149	3.316	3.69	0.167	0.374	1.345
nonNat_68_unrelated	5.432	3.149	3.319	4.063	0.17	0.744	1.369
nonNat_69_related	5.183	3.339	3.463	3.853	0.124	0.39	1.33
nonNat_69_unrelated	4.916	3.339	3.422	3.823	0.083	0.401	1.093
nonNat_6_related	5.362	3.588	3.719	4.26	0.131	0.541	1.102
nonNat_6_unrelated	5.272	3.588	3.774	4.325	0.186	0.551	0.947
nonNat_70_related	4.581	2.64	2.789	3.415	0.149	0.626	1.166
nonNat_70_unrelated	4.082	2.64	2.839	3.062	0.199	0.223	1.02
nonNat_74_related	5.58	4.115	4.251	4.793	0.136	0.542	0.787
nonNat_74_unrelated	5.445	4.115	4.342	4.668	0.227	0.326	0.777
nonNat_75_related	4.226	1.708	1.875	2.181	0.167	0.306	2.045
nonNat_75_unrelated	4.301	1.708	1.851	2.247	0.143	0.396	2.054
nonNat_77_related	4.301	3.231	3.406	3.893	0.175	0.487	0.408
nonNat_77_unrelated	4.324	3.231	3.403	3.738	0.172	0.335	0.586
nonNat_79_related	5.456	4.508	4.617	4.931	0.109	0.314	0.525
nonNat_79_unrelated	5.387	4.508	4.711	4.894	0.203	0.183	0.493
nonNat_7_related	6.935	5.601	5.833	6.083	0.232	0.25	0.852
nonNat_7_unrelated	6.976	5.601	5.788	6.164	0.187	0.376	0.812
nonNat_80_related	4.779	3.549	3.66	3.906	0.111	0.246	0.873
nonNat_80_unrelated	4.789	3.549	3.669	3.951	0.12	0.282	0.838
nonNat_83_related	6.263	3.554	3.769	4.232	0.215	0.463	2.031
nonNat_83_unrelated	6.099	3.554	3.678	4.171	0.124	0.493	1.928
nonNat_84_related	8.237	6.526	6.676	6.967	0.15	0.291	1.27
nonNat_84_unrelated	8.61	6.526	6.746	7.371	0.22	0.625	1.239
nonNat_85_related	5.028	3.415	3.563	3.998	0.148	0.435	1.03
nonNat_85_unrelated	5.113	3.415	3.659	4.257	0.244	0.598	0.856
nonNat_87_related	9.313	7.026	7.183	7.62	0.157	0.437	1.693
nonNat_87_unrelated	9.385	7.026	7.195	7.653	0.169	0.458	1.732
nonNat_88_related	3.926	2.975	3.097	3.453	0.122	0.356	0.473
nonNat_88_unrelated	4.057	2.975	3.093	3.504	0.118	0.411	0.553
nonNat_89_related	4.527	2.809	2.938	3.348	0.129	0.41	1.179
nonNat_89_unrelated	4.656	2.809	2.902	3.368	0.093	0.466	1.288
nonNat_8_related	4.638	2.846	2.986	3.402	0.14	0.416	1.236
nonNat_8_unrelated	4.713	2.846	2.968	3.471	0.122	0.503	1.242
nonNat_90_related	4.772	3.919	4.101	4.449	0.182	0.348	0.323
nonNat_90_unrelated	4.886	3.919	4.101	4.574	0.182	0.473	0.312
nonNat_92_related	4.813	3.598	3.758	4.113	0.16	0.355	0.7
nonNat_92_unrelated	4.862	3.598	3.739	4.051	0.141	0.312	0.811
nonNat_93_related	4.975	3.639	3.819	4.218	0.18	0.399	0.757
nonNat_93_unrelated	4.925	3.639	3.816	4.156	0.177	0.34	0.769
nonNat_94_related	8.9	4.607	4.75	5.213	0.143	0.463	3.687
nonNat_94_unrelated	8.832	4.607	4.701	5.194	0.094	0.493	3.638
nonNat_95_related	5.542	4.09	4.288	4.627	0.198	0.339	0.915
nonNat_95_unrelated	5.587	4.09	4.276	4.738	0.186	0.462	0.849
nonNat_97_related	3.649	2.876	3.074	3.299	0.198	0.225	0.35
nonNat_97_unrelated	3.857	2.876	3.057	3.397	0.181	0.34	0.46
nonNat_98_related	4.212	2.912	3.087	3.433	0.175	0.346	0.779
nonNat_98_unrelated	4.394	2.912	3.073	3.637	0.161	0.564	0.757
nonNat_9_related	4.278	2.509	2.671	3.179	0.162	0.508	1.099
nonNat_9_unrelated	4.196	2.509	2.7	3.041	0.191	0.341	1.155
